,Link,Description
0,/books/OL679489M/Fundamentals_of_management,"
          Fundamentals of management
        "
1,/books/OL1101573M/Fundamentals_of_management,"
          Fundamentals of management
        "
2,/books/OL10232434M/Fundamentals_of_Management,"
          Fundamentals of Management: Study Guide
        "
3,/books/OL1535152M/Fundamentals_of_management,"
          Fundamentals of management
        "
4,/books/OL2197895M/Fundamentals_of_management,"
          Fundamentals of management
        "
5,/books/OL2746494M/Fundamentals_of_management,"
          Fundamentals of management
        "
6,/books/OL3193383M/Fundamentals_of_management,"
          Fundamentals of management
        "
7,/books/OL4121744M/Fundamentals_of_management,"
          Fundamentals  of management: functions, behavior, models
        "
8,/books/OL4568488M/Fundamentals_of_management,"
          Fundamentals of management: functions, behavior, models
        "
9,/books/OL4571367M/Fundamentals_of_management,"
          Fundamentals of management: selected readings
        "
10,/books/OL5056057M/Fundamentals_of_management,"
          Fundamentals of management: functions, behavior, models
        "
11,/books/OL5061293M/Fundamentals_of_management,"
          Fundamentals of management: selected readings
        "
