Time,Level,Mode,NewRate,Rate,Output
71,0.9,0.3,0.12804,0.12804097,0.1016042781
34,0.9,0.3,0.11,0.1016042781,0.3766233766
14,0.9,0.3,0.2391138274,0.3766233766,0.961038961
35,0.9,0.3,0.9090909,0.909090909,0.47975552
36,0.9,0.3,0.9090908,0.47975552,0.5185523
13,0.9,0.3,0.9090909,0.5185523,0.40451255
33,0.9,0.3,0.9090908,0.40451255,0.27661237
47,0.9,0.3,0.9090908,0.27661237,0.2623569
29,0.9,0.3,0.90909094,0.2623569,0.27760878
41,0.9,0.3,0.90909094,0.27760878,0.16570884
36,0.9,0.3,0.90909094,0.16570884,0.3617711
36,0.9,0.3,0.90909094,0.3617711,0.23519811
26,0.9,0.3,0.90909094,0.23519811,0.40229154
18,0.9,0.3,0.90909094,0.40229154,0.48622575
32,0.9,0.3,0.90909094,0.48622575,0.3546761
45,0.9,0.3,0.90909094,0.3546761,0.20093514
54,0.9,0.3,0.90909094,0.20093514,0.11765453
41,0.9,0.3,0.90909094,0.11765453,0.3685406
56,0.9,0.3,0.90909094,0.3685406,0.17025068
28,0.9,0.3,0.90909094,0.17025068,0.3278462
40,0.9,0.3,0.90909094,0.3278462,0.25304154
19,0.9,0.3,0.90909094,0.25304154,0.49433884
28,0.9,0.3,0.90909094,0.49433884,0.3037613
34,0.9,0.3,0.90909094,0.3037613,0.36582312
32,0.9,0.3,0.90909094,0.36582312,0.33772168
25,0.9,0.3,0.90909094,0.33772168,0.42839605
43,0.9,0.3,0.90909094,0.42839605,0.252331
19,0.9,0.3,0.90909094,0.252331,0.465162
32,0.9,0.3,0.90909094,0.465162,0.27805203
43,0.9,0.3,0.90909094,0.27805203,0.24865632
29,0.9,0.3,0.90909094,0.24865632,0.39237687
33,0.9,0.3,0.90909094,0.39237687,0.3054176
27,0.9,0.3,0.90909094,0.3054176,0.35573855
43,0.9,0.3,0.90909094,0.35573855,0.2264812
40,0.9,0.3,0.90909094,0.2264812,0.26897883
29,0.9,0.3,0.90909094,0.26897883,0.35650244
33,0.9,0.3,0.90909094,0.35650244,0.34143436
48,0.9,0.3,0.90909094,0.34143436,0.19433056
21,0.9,0.3,0.90909094,0.19433056,0.45293823
49,0.9,0.3,0.90909094,0.45293823,0.18046203
33,0.9,0.3,0.90909094,0.18046203,0.3265025
42,0.9,0.3,0.90909094,0.3265025,0.2580154
53,0.9,0.3,0.90909094,0.2580154,0.14573038
17,0.9,0.3,0.90909094,0.14573038,0.49416453
35,0.9,0.3,0.90909094,0.49416453,0.3028885
48,0.9,0.3,0.90909094,0.3028885,0.19157095
59,0.9,0.3,0.90909094,0.19157095,0.12732925
6,0.9,0.3,0.90909094,0.12732925,0.5908112
26,0.9,0.3,0.90909094,0.5908112,0.38929597
57,0.9,0.3,0.90909094,0.38929597,0.12239163
29,0.9,0.3,0.90909094,0.12239163,0.3626057
21,0.9,0.3,0.90909094,0.3626057,0.44444472
16,0.9,0.3,0.90909094,0.44444472,0.50996447
33,0.9,0.3,0.90909094,0.50996447,0.33898008
